fid,TOB,TOC
1,1_RESIDENTIAL,11_SINGLE
2,1_RESIDENTIAL,12_DUPLEX
3,1_RESIDENTIAL,13_ROWHOUSE/ACCESORIA
4,1_RESIDENTIAL,14_QUADRUPLEX
5,1_RESIDENTIAL,15_RESIDENTIAL CONDOMINIUM
6,1_RESIDENTIAL,10_OTHER RESIDENTIAL
7,2_COMMERCIAL,21_BANK
8,2_COMMERCIAL,22_STORE
9,2_COMMERCIAL,23_HOTEL/MOTEL
10,2_COMMERCIAL,24_OFFICE CONDOMINIUM/BUSINESS OFFICE BUILDINGS
11,2_COMMERCIAL,"25_RESTAURANT, ETC."
12,2_COMMERCIAL,26_SHOP
13,2_COMMERCIAL,27_GASOLINE STATION
14,2_COMMERCIAL,28_MARKET
15,2_COMMERCIAL,29_DORMITORY AND OTHER LODGING HOUSES
16,2_COMMERCIAL,20_OTHER COMMERCIAL
17,3_INDUSTRIAL,31_FACTORY/PLANT
18,3_INDUSTRIAL,32_REPAIR/MACHINE SHOP
19,3_INDUSTRIAL,33_REFINERY
20,3_INDUSTRIAL,34_PRINTING PRESS
21,3_INDUSTRIAL,35_WAREHOUSE
22,3_INDUSTRIAL,36_POWERPLANTS
23,3_INDUSTRIAL,37_WATER PUMPING  STATION
24,3_INDUSTRIAL,30_OTHER INDUSTRIAL
25,4_INSTITUTIONAL,41_SCHOOL 
26,4_INSTITUTIONAL,42_CHURCH AND OTHER RELIGIOUS STRUCTURES
27,4_INSTITUTIONAL,43_HOSPITAL AND SIMILAR STRUCTURES
28,4_INSTITUTIONAL,44_WELFARE AND CHARITABLE STRUCTURES
29,4_INSTITUTIONAL,"45_THEATER, AUDITORIUM, GYMNASIUM, COURT, ETC."
30,4_INSTITUTIONAL,46_GOVERNMENT BUILDING
31,4_INSTITUTIONAL,47_PORT/AIRPORT/FISHING PORTS
32,4_INSTITUTIONAL,40_OTHER INSTITUTIONAL
33,5_AGRICULTURAL,"51_BARN, POULTRY HOUSE, ETC."
34,5_AGRICULTURAL,52_GRAIN MILL
35,5_AGRICULTURAL,53_SLAUGHTER HOUSE
36,5_AGRICULTURAL,50_OTHER AGRICULTURAL
37,6_OTHER NON-BUILDING CONSTRUCTION,61_MAUSOLEUM
38,6_OTHER NON-BUILDING CONSTRUCTION,"62_PARK, PLAZA, MONUMENT, POOL, PLANT BOX"
39,6_OTHER NON-BUILDING CONSTRUCTION,"63_SIDEWALK, PROMENADE, TERRACE, LAMPPOST, ELECTRIC POLES  TELEPHONE POLE, ETC."
40,6_OTHER NON-BUILDING CONSTRUCTION,"64_OUTDOOR ADS, SIGNBOARD, ETC."
41,6_OTHER NON-BUILDING CONSTRUCTION,65_FENCE ENCLOSURE
42,6_OTHER NON-BUILDING CONSTRUCTION,60_OTHER NON-BUILDING CONSTUCTION
